address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
6742 E Christine Ave,Fresno,CA,93727,284900,1728.0,4.0,2.0,9,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6742-E-Christine-Ave-Fresno-CA-93727/2090876442_zpid/
5329 E Pitt Ave,Fresno,CA,93727,239900,1522.0,3.0,2.0,10,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5329-E-Pitt-Ave-Fresno-CA-93727/95457504_zpid/
465 S Duke Ave,Fresno,CA,93727,265000,1691.0,3.0,2.0,7,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/465-S-Duke-Ave-Fresno-CA-93727/82855355_zpid/
6137 E Clinton Ave,Fresno,CA,93727,450000,1796.0,4.0,2.0,10,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/6137-E-Clinton-Ave-Fresno-CA-93727/18652466_zpid/
6113 E Illinois Ave,Fresno,CA,93727,259900,1652.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6113-E-Illinois-Ave-Fresno-CA-93727/18660491_zpid/
332 S Minnewawa Ave,Fresno,CA,93727,399900,754.0,2.0,1.0,7,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/332-S-Minnewawa-Ave-Fresno-CA-93727/18760416_zpid/
1347 S Filbert Ave # ELWPYB,Fresno,CA,93727,302050,2171.0,3.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2091365341_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
2691 N Mcarthur Ave # MU8JAU,Fresno,CA,93727,413450,2806.0,5.0,4.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2091762427_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
811 S Mcarthur Ave # GTVNS3,Fresno,CA,93727,314900,1881.0,4.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093554994_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
5377 E Townsend Ave,Fresno,CA,93727,149950,NA,NA,NA,9,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/5377-E-Townsend-Ave-Fresno-CA-93727/95482967_zpid/
2691 N Mcarthur Ave # POKUOA,Fresno,CA,93727,334450,2366.0,3.0,2.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093265258_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
5366 E Townsend Ave,Fresno,CA,93727,149950,NA,NA,NA,9,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/5366-E-Townsend-Ave-Fresno-CA-93727/95514634_zpid/
1158 S Mckelvey Ave,Fresno,CA,93727,298990,2195.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093902922_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
6189 E Liberty Ave,Fresno,CA,93727,17000,1984.0,0.0,NA,19,Auction,http://www.zillow.com/homes/for_sale//homedetails/6189-E-Liberty-Ave-Fresno-CA-93727/18659493_zpid/
