address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,zestimate,zRange,builtIn,builtBy,comName,parking
address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,zestimate,zRange,builtIn,builtBy,comName,parking
5377 E Townsend Ave,Fresno,CA,93727,149950,NA,NA,NA,9,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/5377-E-Townsend-Ave-Fresno-CA-93727/95482967_zpid/,NA,NA,Other Building Features,NA,Accessibility,Property Subtype 1: Single Family Residence
2691 N Mcarthur Ave # POKUOA,Fresno,CA,93727,334450,2366.0,3.0,2.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093265258_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$352,926","$293,000-$434,000", 2018, Granville Homes, Belterra, 2 spaces
5366 E Townsend Ave,Fresno,CA,93727,149950,NA,NA,NA,9,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/5366-E-Townsend-Ave-Fresno-CA-93727/95514634_zpid/,We,UnavailableLAST30,Other Building Features,NA,Accessibility,Property Subtype 1: Single Family Residence
1158 S Mckelvey Ave,Fresno,CA,93727,298990,2195.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093902922_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$301,151","$280,000-$367,000", 2018, Centex Homes, Ivywood, 2 spaces
6189 E Liberty Ave,Fresno,CA,93727,17000,1984.0,0.0,NA,19,Auction,http://www.zillow.com/homes/for_sale//homedetails/6189-E-Liberty-Ave-Fresno-CA-93727/18659493_zpid/,NA,NA,1957,NA,Single Family,2 spaces
2794 N Dee Ann Ave,Fresno,CA,93727,31000,2000.0,0.0,NA,19,Auction,http://www.zillow.com/homes/for_sale//homedetails/2794-N-Dee-Ann-Ave-Fresno-CA-93727/89468103_zpid/,"$321,516","$305,000-$338,000",No Data,NA,Single Family,No Data
6790 E Christine Ave,Fresno,CA,93727,270990,2450.0,5.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094372483_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$266,900","$254,000-$299,000", 2018, Centex Homes, Ivywood, 2 spaces
5063 E Hammond Ave,Fresno,CA,93727,6.4000,NA,0.0,NA,19,Auction,http://www.zillow.com/homes/for_sale//homedetails/5063-E-Hammond-Ave-Fresno-CA-93727/18752498_zpid/,NA,NA,NA,NA,NA,NA
5086 E Floradora Ave,Fresno,CA,93727,11000,NA,0.0,NA,19,Auction,http://www.zillow.com/homes/for_sale//homedetails/5086-E-Floradora-Ave-Fresno-CA-93727/18752748_zpid/,NA,NA,NA,NA,NA,NA
1239 S Arroyo Ave,Fresno,CA,93727,282990,1923.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093036854_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$291,973","$272,000-$333,000", 2018, Centex Homes, Ivywood, 2 spaces
4882 E Harvey Ave,FRESNO,CA,93727,2.6000,NA,0.0,NA,19,Auction,http://www.zillow.com/homes/for_sale//homedetails/4882-E-Harvey-Ave-Fresno-CA-93727/95464061_zpid/,"$185,632","$169,000-$206,000",No Data,NA,Single Family,No Data
6945 E Christine Ave,Fresno,CA,93727,313990,2450.0,5.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093036848_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$344,851","$328,000-$410,000", 2018, Centex Homes, Ivywood, 2 spaces
6919 E Erin Ave,Fresno,CA,93727,287990,2175.0,4.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094338980_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$266,900","$254,000-$299,000", 2018, Centex Homes, Ivywood, 2 spaces
5145 E Lane Ave APT 237,Fresno,CA,93727,65000,652.0,1.0,1.0,14,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5145-E-Lane-Ave-APT-237-Fresno-CA-93727/18767589_zpid/,"$69,754","$56,000-$81,000",1985,NA,Single Family,Attached Garage
1167 S Mckelvey Ave,Fresno,CA,93727,282990,1923.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094372471_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$291,973","$272,000-$333,000", 2018, Centex Homes, Ivywood, 2 spaces
2132 S Ezie Ave,Fresno,CA,93727,277000,2291.0,4.0,2.0,23,Auction,http://www.zillow.com/homes/for_sale//homedetails/2132-S-Ezie-Ave-Fresno-CA-93727/68981845_zpid/,"$303,501","$288,000-$325,000",2005,NA,Single Family,No Data
4832 E Nevada Ave,Fresno,CA,93727,189000,1526.0,3.0,2.0,22,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4832-E-Nevada-Ave-Fresno-CA-93727/18759356_zpid/,NA,NA,NA,NA,NA,NA
5188 E Ashlan Ave APT 106,Fresno,CA,93727,119995,1207.0,2.0,1.5,17,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5188-E-Ashlan-Ave-APT-106-Fresno-CA-93727/18775660_zpid/,NA,NA,NA,NA,NA,NA
1796 S Sylmar Ave,Fresno,CA,93727,249000,2122.0,4.0,3.0,20,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1796-S-Sylmar-Ave-Fresno-CA-93727/18768222_zpid/,"$285,732","$234,000-$300,000",1978,NA,Single Family,Attached Garage
